threadId,messageId,label,skipped,subject,from,snippet
"","1937f0fb2ec0bfd4","","not-job-related","You have a package to pick up at the Amazon Locker - Tower 28A  - 685855","",""
"","1937f0dabb2d739c","","not-job-related","Create a FREE Bio Site today","",""
"","1937ebed9ad9a96d","","not-job-related","Yutong, feels like your style","",""
"","1937e8902b9c4c79","","not-job-related","yutong, don’t forget to claim your gift","",""
"","1937e31d4f63f6f9","","not-job-related","You have a package to pick up at the Amazon Locker - Tower 28A  - 993219","",""
"","1937e22243cb7316","","not-job-related","🛝 First and Biggest Playground Sale!","",""
"","1937e13dd8428eb9","","not-job-related","You have a package to pick up at the Amazon Locker - Tower 28A  - 000351","",""
"","1937e135130c6bf0","","not-job-related","🚨 DIELINE Awards Deadline Extended – Act Now!","",""
"","1937dd00100e713b","","not-job-related","ENDS SOON: UP TO 30% OFF SITEWIDE","",""
"","1937dbe19485e1b2","","not-job-related","Your local small businesses are on Eventbrite","",""
"","1937dbc950498930","","not-job-related","Your Otter Workspace has been deleted - 
you're back on the Basic plan","",""
"","1937d868b5fbb1d5","","not-job-related","Cyber Monday deals are live!","",""
"","1937d6323e21715a","","not-job-related","Streamline your Linktree","",""
"","1937b278b13647eb","","no-match","Final Reminder: Black Friday Bonus—8 Months Free with Pro Annual!","",""
"","1937b0fed6a99139","","not-job-related","Good news: SKIMS is almost yours!","",""
"","1937ac0d8e0c5290","","ignored-finance-receipt","Your Amazon.com order of ""Paris Hilton Over the Sink..."" has shipped!","",""
"","1937abcca000ba0b","","not-job-related","Black Friday Week deals end tonight!","",""
"1937a975066897b8","1937a975066897b8","Application","","Just in: Experian has new Graphic Design Intern jobs open","Lensa Aggregated <aggregated@lensa.com>",""
"","1937a8e4f6cd2568","","no-match","Veronica - Receptionist shared a new post","",""
"","1937a715403a3cb4","","no-match","Domain name renewal price change","",""
"","1937a29ba51148d1","","not-job-related","UP TO 50% OFF!","",""
"","1937a0d4398498cc","","no-match","yutong, follow Magdalena Anna - Women's Holistic Health Coach at FeminaFlow","",""
