threadId,messageId,label,skipped,subject,from,snippet
"","1941dba66cb7fc2f","","no-match","Welcome to Cosmos 🪐","",""
"","1941db4a79387245","","ignored-finance-receipt","Your receipt from Recraft, Inc. #2112-3519","",""
"","1941d6d102fce800","","not-job-related","Reset password instructions","",""
"","1941d596f7568c93","","not-job-related","Verify your email","",""
"","1941bf23f5131651","","not-job-related","Happy New Year from The Creative Pack","",""
"","1941b4f32d46c9cd","","no-match","2 days left to shop","",""
"","1941aea359345c6a","","not-job-related","We found something you might like","",""
"","1941ae72378cdccb","","no-match","Yutong, check out your new Chase Offers","",""
"1941a2eaec7a8d42","1941a2eaec7a8d42","Application","","Nick Cuda posted: They say that the best way to increase your salary is to change jobs. This migh... 💡","LinkedIn <updates-noreply@linkedin.com>",""
"","194198c55a3e2a28","","not-job-related","Create a FREE Bio Site today","",""
"","1941971a9dc592c3","","not-job-related","You have a package to pick up at the Amazon Locker - Tower 28A  - 662987","",""
"","19418ad0a40ac200","","not-job-related","🍾 It’s Not Too Late: Deadline Extended to Jan 8!","",""
"","19418a76a49fcff4","","not-job-related","New Sunday Serendipity with Silka","",""
"","1941886297cdf6f2","","not-job-related","Your Year in SKIMS","",""
"","194179b82a2c794c","","not-job-related","Grilli Type Trial Fonts","",""
"","1941564613b52826","","not-job-related","Your recommendations for the new year","",""
"","19414f216a0c6db9","","no-match","You authorized a payment to Uber Eats","",""
"","1941454b0ee42fa1","","no-match","yutong, you’re on a roll on LinkedIn!","",""
"","194144efd273c85f","","not-job-related","We found something you might like","",""
"","194143dd94b41fd7","","not-job-related","Yutong, you haven't set up your chase.com account yet","",""
"","194142906c158903","","not-job-related","Shipped: ""Otstar Jar Opener Bottle...""","",""
"","194135f13297343d","","not-job-related","DON’T MISS OUT: UP TO 50% OFF NEW SALE STYLES","",""
"","19412b90ef82c498","","not-job-related","Complete Your ID.me Account Set Up","",""
"","194111ac735ac2c2","","not-job-related","Yutong, you added a new card to your Google Account","",""
"","194110e09fc2e50b","","no-match","Nike W’s Air Rift Fire Red / Fire Red","",""
"","1941061a3a9958b5","","no-match","You authorized a payment to Uber Eats","",""
